,p1ori_fluo,p1ori_std_dev,p1longori_fluo,p1longori_std_dev,p5ter_fluo,p5ter_std_dev,p5ori_fluo,p5ori_std_dev,p1longter_fluo,p1longter_std_dev,time
91,662578.524770183,73185.60355725406,912497.9037923242,110085.01404891304,158395.3805032863,27241.206993855714,285962.66517275944,61957.384244208464,477919.1237052688,80659.70081263944,66.09195402298855
92,671640.3898774033,73480.66108439097,927469.1679595563,114028.9263089067,157136.4932921526,27578.768766270638,285763.7647408299,60948.397100976785,481769.43545705464,76757.94073427295,70.11494252873564
93,680139.0827558183,73689.76689447994,941418.0920166019,113596.52194771382,156069.12899040704,26782.66573030501,286313.04174614814,60094.02962609009,485321.4820129447,79831.22535422006,74.13793103448279
94,689062.6816287282,76113.62078826665,958308.5824330652,109419.95424234061,154736.94296151111,27595.42658166948,286959.4048414998,61035.23976013465,486335.40708761767,74290.8994537897,78.16091954022988
95,698355.2534820277,77268.7025204753,974022.995386305,111694.83640013706,153543.6765199216,27850.020051067844,288096.71250147966,61648.03733840306,488315.31924948725,76708.89784442258,82.18390804597703
96,707084.5244563235,81242.93669047747,987665.7940274335,110372.25789902377,152231.27099156135,27042.900382640488,290073.65783867234,61822.3175449945,491434.5332574855,83028.21919630788,86.20689655172418
97,712956.8442559933,77501.72105901294,1002280.3074898612,105970.8734610809,150851.56637539816,27040.160061386625,291717.05598391086,64343.793151628735,491386.5352712879,79242.85540391305,90.22988505747128
98,718932.3312483018,79231.57018462772,1016451.330540793,102899.51259034924,149704.74095132726,26149.9114379252,293667.06689687306,63470.90494126888,490512.765798831,87126.21529920431,94.25287356321843
99,724669.9386610858,78525.08670877697,1029931.4200453464,103529.64920506458,148610.3626387207,25542.92968082024,296171.09680765966,64395.25760933394,490156.0604234086,81614.61006168688,98.27586206896552
100,728002.334555611,77811.13964623636,1041222.2119204544,97791.2849834931,147513.15187278192,26304.454974507215,298664.57031883247,65147.40954124178,490584.90755560214,91315.46226262968,102.29885057471267
101,732536.0302174066,74785.0519873235,1054134.7464188815,99002.63648857154,146621.51510353506,25596.0372618507,301303.1611517466,65712.79460716019,489952.3730980565,84714.02376930462,106.32183908045977
102,734341.5638825806,73594.95292128054,1061741.2570517038,100913.7538793451,145795.93623220292,25030.33902637108,303662.412465779,66653.4072041484,492196.93248128676,83142.0664506226,110.34482758620692
103,736852.8617108398,72505.05428758985,1070648.6643063081,94020.67419969474,145403.52626450005,25306.74760214726,305926.39844399015,66958.36133794303,495015.87405359803,88370.64917963902,114.36781609195407
104,738280.0683587404,72115.60283821964,1078297.6461684543,95213.7989050485,144701.83538421354,26192.936588767345,307519.9819346364,65861.68749167827,496184.01666067395,86299.68195294387,118.39080459770116
105,740075.3916880583,71386.42020813076,1083801.1908945784,95959.57510950392,144188.1151748751,26115.10092411367,308511.48433390196,67403.14510185551,498504.38204334164,81502.71128842802,122.41379310344831
106,740905.4803047149,72082.15635295551,1087374.1139717447,86892.53072886933,144019.6464321643,26793.677610856957,310104.1457271618,69534.9342870455,500000.4943440491,75659.70588314872,126.4367816091954
107,739701.3214933668,72987.12149243831,1090045.4464638974,98364.92976771563,143845.40190480766,26276.87699707411,311336.7063534359,68954.2737853395,499670.85035420884,76798.6940366822,130.45977011494256
108,738049.8611714516,69814.7773893821,1090256.0256121426,178300.0794510058,143838.25104605337,26889.76205971434,312625.867560776,72586.43767555669,498439.56529885315,75997.77902085621,134.48275862068965
109,735625.8537765268,71030.26228674331,1088961.6794833995,98885.8851949274,143596.10083006608,26862.284089432796,313630.52937132167,71545.32871537839,498475.85293961025,76014.72525583375,138.5057471264368
110,733022.9130253773,69318.30855505928,1088328.3847153904,119462.80233434196,143385.22364482548,27633.08137095206,315312.0092155713,71079.29606134983,496896.9630955215,75663.73097142033,142.52873563218395
111,729015.2066801521,68535.95799823478,1085942.8730898625,113283.72608850185,142853.4828122282,26616.398473744575,317399.2283199666,72925.51480763864,495393.264985772,73584.13497103905,146.55172413793105
112,728474.1625294463,68712.00383633256,1084036.493119457,159543.41830636948,142307.48024765507,27305.45370006031,318134.40287753043,74451.09511929673,494964.76952077704,77459.44363056484,150.5747126436782
113,726631.6505004758,68901.61505586482,1081474.5104179897,109489.69159744807,142053.6863920167,27020.124086491545,319912.71292651555,74760.24809749996,497279.11183774326,76339.2190910731,154.5977011494253
114,724649.6696588715,69110.29388221832,1077538.6224759528,120544.29795468673,141894.36470475502,27865.227052370625,320826.7739001763,76073.56654354619,497890.62661862175,80790.50052718954,158.62068965517244
115,722395.8383642131,69660.82664462889,1070610.9240991455,112394.88654316444,142058.37209959954,27745.89433973275,322465.7885993754,78550.26364239128,499118.06019126636,79071.31100702687,162.64367816091954
116,721082.7742370719,68703.12906327675,1067598.6601998361,111789.58438808135,142018.66665386036,27670.756944982262,323227.00202932185,78714.07257732181,501027.74650842743,77809.99326892664,166.66666666666669
117,719980.7836864613,70198.09195765482,1062833.2723754793,109134.55364125731,141895.9630011187,28925.78686573354,324062.4886845307,81223.200651886,501503.5502193957,79073.93470927604,170.68965517241384
118,718922.2817809575,68977.0684992987,1059444.7023536176,110672.62115179111,142130.6285060493,28308.725217487518,325031.1667024283,83580.59935107552,503117.08899343695,79699.39203192928,174.71264367816093
119,718465.2419596257,67571.50581695633,1055480.3043351015,107268.55142447536,142238.76055064227,29141.43553784064,326161.91077712807,85577.62282589902,504128.29864695464,79099.01676229315,178.73563218390808
120,718655.8788851055,67335.76365302502,1053779.4170033976,110710.97445192373,142153.75512184063,29271.37365756309,326819.6418884826,87289.36627644811,504040.6423129273,82199.14571664973,182.75862068965517
121,719303.1603378239,67848.02964033061,1049756.6499206172,109918.26836731294,142295.17626727812,28694.702753080554,327529.70393278473,87836.1176656708,505360.86965222756,76570.3523504653,186.78160919540232
122,719833.4105215911,67527.60889129154,1045942.6830153746,111272.05860835215,142494.62519466123,30139.509271129726,328060.7284013588,89482.57736975735,505634.45696272183,83201.37917240878,190.80459770114948
123,720748.6149648883,69538.564251186,1043610.5940025843,110865.53217499846,142831.4381400152,28404.93555035334,328963.0563027417,93289.43136478166,505540.9711112265,84235.11459769936,194.82758620689657
124,722081.0498825493,69971.50096082306,1040276.6327013016,110798.44417052907,143162.04814177775,28592.52809861504,329884.8421701668,89633.11021968666,507783.9196019006,86138.3041414086,198.85057471264372
125,723945.4573974762,69447.61858416969,1039625.1148230574,113301.4173403961,143532.24253630775,28798.794599984863,330863.5662682094,88543.08069981342,510141.11895363,86532.178649981,202.8735632183908
